,Avg Waiting Time,Avg Turnaround Time,Response Time,Throughput,CPU Utilization
SRTF,20.4,30.3,20.3,0.10101010101010101,1.0
Priority,43.9,53.8,43.9,0.10101010101010101,1.0
RR_Q = 1,43.2,53.1,4.5,0.10101010101010101,1.0
RR_Q = 2,41.6,51.5,9.0,0.10101010101010101,1.0
RR_Q = 3,43.8,53.7,12.6,0.10101010101010101,1.0
RR_Q = 4,42.4,52.3,15.8,0.10101010101010101,1.0
RR_Q = 5,40.7,50.6,18.7,0.10101010101010101,1.0
RR_Q = 6,43.2,53.1,21.0,0.10101010101010101,1.0
RR_Q = 7,41.8,51.7,24.2,0.10101010101010101,1.0
RR_Q = 8,40.8,50.7,26.8,0.10101010101010101,1.0
RR_Q = 9,42.3,52.2,28.5,0.10101010101010101,1.0
RR_Q = 10,39.8,49.7,28.7,0.10101010101010101,1.0
RR_Q = 11,41.2,51.1,30.1,0.10101010101010101,1.0
RR_Q = 12,42.6,52.5,31.5,0.10101010101010101,1.0
RR_Q = 13,41.7,51.6,32.9,0.10101010101010101,1.0
RR_Q = 14,42.9,52.8,34.1,0.10101010101010101,1.0
RR_Q = 15,38.7,48.6,35.3,0.10101010101010101,1.0
RR_Q = 16,39.2,49.1,35.8,0.10101010101010101,1.0
RR_Q = 17,39.4,49.3,36.3,0.10101010101010101,1.0
RR_Q = 18,39.9,49.8,36.8,0.10101010101010101,1.0
RR_Q = 19,40.4,50.3,37.3,0.10101010101010101,1.0
RR_Q = 20,37.8,47.7,37.8,0.10101010101010101,1.0
